incident_id,date,lat,lon,city,state,address,injured,killed,child_involved,officer_involved,mass_shooting,accidental,domestic_violence,drive_by,link,year,month,total,fatal,mass,index_right,neighborhood
92490,2014-01-01,28.5066,-81.1511,Orlando,Florida,Sun Dew Dr,0,1,False,False,False,False,True,False,https://www.gunviolencearchive.org/incident/92490,2014,1,1,True,False,,
92540,2014-01-01,28.4532,-81.3888,Orlando,Florida,831 Sky Lake Cir,1,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/92540,2014,1,2,True,False,,
92544,2014-01-02,28.435979098165955,-81.39295755415765,Orlando,Florida,Landstreet Road,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/92544,2014,1,1,False,False,,
93481,2014-01-05,28.5756,-81.473,Orlando,Florida,6872 Alta WestGate Drive,2,1,False,False,False,False,False,True,https://www.gunviolencearchive.org/incident/93481,2014,1,3,True,False,,
94267,2014-01-09,28.54668247340933,-81.39311569223835,Orlando,Florida,1000 block of W. Bentley Street,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/94267,2014,1,1,True,False,4.0,Callahan
96620,2014-01-15,28.5392,-81.4127,Orlando,Florida,West Jackson Street,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/96620,2014,1,1,False,False,24.0,Lake Sunset
97025,2014-01-15,28.4926,-81.411,Orlando,Florida,5009 Park Central Dr,2,0,False,False,False,True,False,False,https://www.gunviolencearchive.org/incident/97025,2014,1,2,False,False,0.0,Park Central
97059,2014-01-16,28.532,-81.4624,Orlando,Florida,Westgate Drive,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/97059,2014,1,1,True,False,69.0,Metro West
97483,2014-01-16,28.561240529417656,-81.43205898951025,Orlando,Florida,Mercy Drive,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/97483,2014,1,1,True,False,85.0,Mercy Drive
99265,2014-01-20,28.6058,-81.4007,Orlando,Florida,Lee Road,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/99265,2014,1,1,True,False,,
98301,2014-01-20,28.5713,-81.3758,Orlando,Florida,I-4 and Princeton St,1,0,False,False,False,True,False,False,https://www.gunviolencearchive.org/incident/98301,2014,1,1,False,False,113.0,College Park
100604,2014-01-25,28.6016,-81.4394,Orlando,Florida,4872 Rosebay Drive,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/100604,2014,1,1,False,False,105.0,Rosemont
102817,2014-02-01,28.5098,-81.4572,Orlando,Florida,5500 block of Arnold Palmer,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/102817,2014,2,1,False,False,71.0,Kirkman North
102815,2014-02-01,28.4098,-81.3407,Orlando,Florida,10900 block of Boggy Creek Road,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/102815,2014,2,1,True,False,,
103810,2014-02-04,28.5711,-81.3894,Orlando,Florida,Princeton Street and Edgewater Drive,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/103810,2014,2,1,False,False,113.0,College Park
104182,2014-02-04,28.5612,-81.432,Orlando,Florida,Mercy Drive,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/104182,2014,2,1,False,False,85.0,Mercy Drive
104483,2014-02-05,28.5229,-81.4344,Orlando,Florida,4600 block of Cepeda Street,0,1,False,False,False,False,True,False,https://www.gunviolencearchive.org/incident/104483,2014,2,1,True,False,97.0,Richmond Heights
106370,2014-02-13,28.539240529417658,-81.39115898951025,Orlando,Florida,800 block of W. Jackson Street,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/106370,2014,2,1,True,False,66.0,Holden/Parramore
107689,2014-02-16,28.4743,-81.31,Orlando,Florida,6141 So. Semoran Blvd.,1,0,False,False,False,True,False,False,https://www.gunviolencearchive.org/incident/107689,2014,2,1,False,False,116.0,Airport North
108039,2014-02-16,28.4968,-81.3101,Orlando,Florida,South Semoran Boulevard,1,0,False,False,False,True,False,False,https://www.gunviolencearchive.org/incident/108039,2014,2,1,False,False,32.0,South Semoran
107420,2014-02-16,28.601,-81.451,Orlando,Florida,4793 N Pine Hills Rd,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/107420,2014,2,1,False,False,56.0,Signal Hill
107497,2014-02-16,28.5568,-81.1597,Orlando,Florida,Perdido Street,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/107497,2014,2,1,True,False,,
183343,2014-02-17,28.557,-81.1622,Orlando,Florida,15100 block of Perdido Drive,0,1,False,True,False,False,True,False,https://www.gunviolencearchive.org/incident/183343,2014,2,1,True,False,,
108272,2014-02-17,28.544240529417657,-81.39535898951026,Orlando,Florida,1200 block of Polk Street,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/108272,2014,2,1,False,False,4.0,Callahan
108551,2014-02-20,28.4361,-81.402,Orlando,Florida,1800 block of Landstreet Road,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/108551,2014,2,1,False,False,,
108835,2014-02-21,28.5441,-81.3817,Orlando,Florida,Garland Avenue,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/108835,2014,2,1,False,False,82.0,Central Business District
110117,2014-02-25,28.5777,-81.476,Orlando,Florida,Hiawassee Road and Silver Star Road,1,0,False,False,False,True,False,False,https://www.gunviolencearchive.org/incident/110117,2014,2,1,False,False,,
110384,2014-02-26,28.608,-81.4298,Orlando,Florida,Cinderlane Pkwy,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/110384,2014,2,1,False,False,105.0,Rosemont
110939,2014-02-28,28.4449,-81.3458,Orlando,Florida,Le Mesa Street,2,0,False,False,False,True,False,False,https://www.gunviolencearchive.org/incident/110939,2014,2,2,False,False,94.0,Southport
111117,2014-03-01,28.6199,-81.4125,Orlando,Florida,Elmhurst Circle,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/111117,2014,3,1,True,False,,
112572,2014-03-05,28.4984,-81.4088,Orlando,Florida,4400 block of S Texas Ave,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/112572,2014,3,1,False,False,,
114896,2014-03-12,28.5404,-81.3759,Orlando,Florida,E Church St and S Rosalind Ave,1,0,False,False,False,False,False,True,https://www.gunviolencearchive.org/incident/114896,2014,3,1,False,False,82.0,Central Business District
114894,2014-03-13,28.5783,-81.2441,Orlando,Florida,2451 N Dean Rd,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/114894,2014,3,1,True,False,,
115742,2014-03-16,28.5434,-81.387,Orlando,Florida,Ossie Street,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/115742,2014,3,1,False,False,4.0,Callahan
117242,2014-03-17,28.51,-81.276,Orlando,Florida,Curry Ford Rd and Excalibur Dr,0,3,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/117242,2014,3,3,True,False,,
116147,2014-03-18,28.5099,-81.276,Orlando,Florida,Curry Ford Rd and Excalibur Dr,0,3,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/116147,2014,3,3,True,False,,
117202,2014-03-19,28.6027,-81.3917,Orlando,Florida,847 Neuse Ave,0,1,False,False,False,False,False,True,https://www.gunviolencearchive.org/incident/117202,2014,3,1,True,False,,
117523,2014-03-20,28.6031,-81.3928,Orlando,Florida,847 Neuse Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/117523,2014,3,1,True,False,,
118166,2014-03-21,28.6084,-81.4299,Orlando,Florida,5500 block of Cinderlane Parkway,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/118166,2014,3,1,False,False,105.0,Rosemont
118157,2014-03-24,28.52054052941765,-81.39685898951025,Orlando,Florida,1249 Kaley Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/118157,2014,3,1,True,False,,
119041,2014-03-25,28.5418,-81.3972,Orlando,Florida,U.S. 17-92,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/119041,2014,3,1,False,False,66.0,Holden/Parramore
120129,2014-03-26,28.5325,-81.3047,Orlando,Florida,800 Xavior Ave,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/120129,2014,3,1,False,False,90.0,Engelwood Park
120131,2014-03-27,28.573440529417656,-81.40645898951026,Orlando,Florida,North Orange Blossom Trail,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/120131,2014,3,1,False,False,117.0,Princeton/Silver Star
120134,2014-03-27,28.528840529417657,-81.43435898951024,Orlando,Florida,South Ivey Lane,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/120134,2014,3,1,False,False,23.0,Lake Mann Gardens
120670,2014-03-27,28.53811547208421,-81.34809010890835,Orlando,Florida,State Road 408,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/120670,2014,3,2,False,False,121.0,Lake Como
128657,2014-04-04,28.5444,-81.3932,Orlando,Florida,West Polk Street,1,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/128657,2014,4,2,True,False,4.0,Callahan
122550,2014-04-04,28.5134,-81.4012,Orlando,Florida,28th St and Rio Grande Ave,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/122550,2014,4,1,False,False,,
122459,2014-04-04,28.5437,-81.4261,Orlando,Florida,West Washington,1,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/122459,2014,4,2,True,False,,
125743,2014-04-14,28.54541547208421,-81.45869010890834,Orlando,Florida,300 N Kirkman Rd,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/125743,2014,4,2,False,False,,
125606,2014-04-14,28.545540529417657,-81.45875898951024,Orlando,Florida,300 N Kirkman Rd,2,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/125606,2014,4,2,False,False,,
126523,2014-04-16,28.5029,-81.4098,Orlando,Florida,Tymberwoods Ln and Chaddy Brook Ct,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/126523,2014,4,1,False,False,,
126506,2014-04-16,28.5508,-81.392,Orlando,Florida,500 block of Charles Court,1,0,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/126506,2014,4,1,False,False,18.0,Lake Dot
127877,2014-04-20,28.5205,-81.3968,Orlando,Florida,1249 Kaley Ave,0,1,False,False,False,False,False,False,https://www.gunviolencearchive.org/incident/127877,2014,4,1,True,False,,
